chain,rate_provider,feed_address,feed_description
arbitrum,0xd983d5560129475bFC210332422FAdCb4EcD09B0,0x0518673439245BB95A58688Bc31cd513F3D5bDd6,cbETH-ETH Exchange Rate +
arbitrum,0x2237a270E87F81A30a1980422185f806e4549346,0x98E5a52fB741347199C08a7a3fcF017364284431,sfrxETH-frxETH Exchange Rate+
arbitrum,0x320CFa1a78d37a13C5D1cA5aA51563fF6Bb0f686,0x03e4054B11ad01915257bE53Af03A32Abf7837b9,sFRAX / FRAX Exchange Rate+
arbitrum,0x155a25c8C3a9353d47BCDBc3650E19d1aEa13E54,0x03e4054B11ad01915257bE53Af03A32Abf7837b9,sFRAX / FRAX Exchange Rate+
arbitrum,0x8581953084FfdDBB82fC63f30f11bDb0E7300284,0x1f5C0C2CD2e9Ad1eE475660AF0bBa27aE7d87f5e,ETHx / ETH Exchange Rate+
arbitrum,0xEfA422c31fc71A636c2C630d226DbA4ccEd1073a,0x03a1f4b19aaeA6e68f0f104dc4346dA3E942cC45,wOETH / OETH Exchange Rate+
arbitrum,0xCd9e3fb32c8F258555b8292531112bBb5B87E2F4,0x20bAe7e1De9c596f5F7615aeaa1342Ba99294e12,weETH / eETH Exchange Rate+
base,0x3786a6CAAB433f5dfE56503207DF31DF87C5b5C1,0x868a501e68F3D1E89CfC0D22F6b22E8dabce5F04,cbETH-ETH Exchange Rate+
base,0x5a7A419C59eAAdec8Dc00bc93ac95612e6e154Cf,0x35e9D7001819Ea3B39Da906aE6b06A62cfe2c181,weETH / eETH Exchange Rate+
base,0x3b3dd5f913443bb5E70389F29c83F7DCA460CAe1,0xB88BAc61a4Ca37C43a3725912B1f472c9A5bc061,wstETH-stETH Exchange Rate+
ethereum,0xEd29fBe335A0602Bf100825b533B12133FE523A3,0x214eD9Da11D2fbe465a6fc601a91E62EbEc1a0D6,XAU / USD+
gnosis,0x09f9611FE9d24c6A518f656E925e3628A2ECDE3b,0x0064AC007fF665CF8D0D3Af5E0AD1c26a3f853eA,wstETH-ETH Exchange Rate+
gnosis,0xE7511f6e5C593007eA8A7F52af4B066333765e03,0xab70BCB260073d036d1660201e9d5405F5829b7a,EUR / USD+
optimism,0x210ABdFD989f3eE5C08614a8f4e096Cf8408f5DF,0x5CC26e6798A3b05525076913840aa07b1d65eE00,inETH / ETH Exchange Rate+
optimism,0xC092E0a4f5a2AdF3CF91E27cf4B7d7917D12CA2B,0x028F7347Df25220DA7D63eB7c29fa10448231489,instETH / ETH Exchange Rate+
optimism,0x9aa3cd420f830E049e2b223D0b07D8c809C94d15,0xe59EBa0D492cA53C6f46015EEa00517F2707dc77,wstETH-stETH Exchange Rate+
optimism,0xf752dd899F87a91370C1C8ac1488Aef6be687505,0xd2AdD08d9Cd83720c9296A991ce066BB08265eAc,sfrxETH / frxETH-Exchange-Rate+
optimism,0xDe3B7eC86B67B05D312ac8FD935B6F59836F2c41,0x8f096bFFe37313Ad6bD5B9fF48F9FF6E4E5Cd065,sFRAX / FRAX Exchange Rate+
optimism,0x7E13b8b95d887c2326C25e71815F33Ea10A2674e,0x8f096bFFe37313Ad6bD5B9fF48F9FF6E4E5Cd065,sFRAX / FRAX Exchange Rate+
optimism,0xef42D000a3e85C4e71C57e2C6A1E600e86f5a91B,0x72EC6bF88effEd88290C66DCF1bE2321d80502f5,weETH / eETH Exchange Rate+
polygon,0x8c1944E305c590FaDAf0aDe4f737f5f95a4971B6,0x10f964234cae09cB6a9854B56FF7D4F38Cda5E6a,WSTETH / ETH+
polygon,0x693A9Aca2f7b699BBd3d55d980Ac8a5D7a66868B,0x3Ea1eC855fBda8bA0396975eC260AD2e9B2Bc01c,wstETH-stETH Exchange Rate+
zkevm,0x8C76aa5B78357E1Fa104EA2bC4A219F0870251f1,0x4177730Ef1Bd0C0c798C7eb8Ab23F9509177214D,rETH / ETH Exchange Rate+
zkevm,0x8dd590Ebb702C21A41289A0a69B0C6F74BdeCE75,0x2Fe92f6a59d08dA453AFdAeF20925185e9d2E897,wstETH-stETH Exchange Rate+
